observation_date,TLPBLCONS,Num_of_days,Daily_cons_spending
1/1/93,113906,31,3674.387097
2/1/93,119243,28,4258.678571
3/1/93,119772,31,3863.612903
4/1/93,126908,30,4230.266667
5/1/93,121634,31,3923.677419
6/1/93,129212,30,4307.066667
7/1/93,129298,31,4170.903226
8/1/93,130039,31,4194.806452
9/1/93,131983,30,4399.433333
10/1/93,126606,31,4084.064516
11/1/93,132425,30,4414.166667
12/1/93,137897,31,4448.290323
1/1/94,126467,31,4079.580645
2/1/94,124573,28,4449.035714
3/1/94,125942,31,4062.645161
4/1/94,123666,30,4122.2
5/1/94,125991,31,4064.225806
6/1/94,131725,30,4390.833333
7/1/94,133537,31,4307.645161
8/1/94,133205,31,4296.935484
9/1/94,132130,30,4404.333333
10/1/94,135310,31,4364.83871
11/1/94,131047,30,4368.233333
12/1/94,135129,31,4359
1/1/95,132958,31,4288.967742
2/1/95,130106,28,4646.642857
3/1/95,135758,31,4379.290323
4/1/95,137352,30,4578.4
5/1/95,139811,31,4510.032258
6/1/95,142949,30,4764.966667
7/1/95,137475,31,4434.677419
8/1/95,144003,31,4645.258065
9/1/95,142569,30,4752.3
10/1/95,143657,31,4634.096774
11/1/95,143817,30,4793.9
12/1/95,140236,31,4523.741935
1/1/96,147112,31,4745.548387
2/1/96,138716,29,4783.310345
3/1/96,140166,31,4521.483871
4/1/96,148123,30,4937.433333
5/1/96,152967,31,4934.419355
6/1/96,144131,30,4804.366667
7/1/96,147315,31,4752.096774
8/1/96,144095,31,4648.225806
9/1/96,149634,30,4987.8
10/1/96,150834,31,4865.612903
11/1/96,151214,30,5040.466667
12/1/96,144846,31,4672.451613
1/1/97,144713,31,4668.16129
2/1/97,150267,28,5366.678571
3/1/97,153274,31,4944.322581
4/1/97,152649,30,5088.3
5/1/97,153063,31,4937.516129
6/1/97,154500,30,5150
7/1/97,156978,31,5063.806452
8/1/97,155647,31,5020.870968
9/1/97,153056,30,5101.866667
10/1/97,157106,31,5067.935484
11/1/97,152798,30,5093.266667
12/1/97,154442,31,4982
1/1/98,149499,31,4822.548387
2/1/98,147429,28,5265.321429
3/1/98,147093,31,4744.935484
4/1/98,150464,30,5015.466667
5/1/98,146590,31,4728.709677
6/1/98,158157,30,5271.9
7/1/98,160167,31,5166.677419
8/1/98,155684,31,5022.064516
9/1/98,159734,30,5324.466667
10/1/98,158208,31,5103.483871
11/1/98,156912,30,5230.4
12/1/98,160793,31,5186.870968
1/1/99,159954,31,5159.806452
2/1/99,167072,28,5966.857143
3/1/99,167195,31,5393.387097
4/1/99,167681,30,5589.366667
5/1/99,164689,31,5312.548387
6/1/99,166830,30,5561
7/1/99,169934,31,5481.741935
8/1/99,168741,31,5443.258065
9/1/99,168889,30,5629.633333
10/1/99,170663,31,5505.258065
11/1/99,177472,30,5915.733333
12/1/99,185045,31,5969.193548
1/1/00,184676,31,5957.290323
2/1/00,176352,29,6081.103448
3/1/00,187906,31,6061.483871
4/1/00,183725,30,6124.166667
5/1/00,178929,31,5771.903226
6/1/00,175368,30,5845.6
7/1/00,171776,31,5541.16129
8/1/00,183390,31,5915.806452
9/1/00,185769,30,6192.3
10/1/00,185369,31,5979.645161
11/1/00,183993,30,6133.1
12/1/00,185294,31,5977.225806
1/1/01,188192,31,6070.709677
2/1/01,189203,28,6757.25
3/1/01,197455,31,6369.516129
4/1/01,201615,30,6720.5
5/1/01,206540,31,6662.580645
6/1/01,205260,30,6842
7/1/01,204878,31,6608.967742
8/1/01,203649,31,6569.322581
9/1/01,198558,30,6618.6
10/1/01,206677,31,6667
11/1/01,207550,30,6918.333333
12/1/01,209290,31,6751.290323
1/1/02,217321,31,7010.354839
2/1/02,219966,28,7855.928571
3/1/02,206789,31,6670.612903
4/1/02,208700,30,6956.666667
5/1/02,215094,31,6938.516129
6/1/02,209818,30,6993.933333
7/1/02,213148,31,6875.741935
8/1/02,212437,31,6852.806452
9/1/02,212711,30,7090.366667
10/1/02,214144,31,6907.870968
11/1/02,214383,30,7146.1
12/1/02,221742,31,7152.967742
1/1/03,219258,31,7072.83871
2/1/03,216078,28,7717.071429
3/1/03,208246,31,6717.612903
4/1/03,211887,30,7062.9
5/1/03,213124,31,6874.967742
6/1/03,218419,30,7280.633333
7/1/03,217640,31,7020.645161
8/1/03,220213,31,7103.645161
9/1/03,219205,30,7306.833333
10/1/03,222735,31,7185
11/1/03,214612,30,7153.733333
12/1/03,212946,31,6869.225806
1/1/04,212536,31,6856
2/1/04,210322,29,7252.482759
3/1/04,221222,31,7136.193548
4/1/04,221765,30,7392.166667
5/1/04,218891,31,7061
6/1/04,222773,30,7425.766667
7/1/04,224037,31,7227
8/1/04,220820,31,7123.225806
9/1/04,218907,30,7296.9
10/1/04,218000,31,7032.258065
11/1/04,225573,30,7519.1
12/1/04,224471,31,7241
1/1/05,220274,31,7105.612903
2/1/05,226618,28,8093.5
3/1/05,228202,31,7361.354839
4/1/05,228516,30,7617.2
5/1/05,234195,31,7554.677419
6/1/05,236913,30,7897.1
7/1/05,236450,31,7627.419355
8/1/05,237852,31,7672.645161
9/1/05,237879,30,7929.3
10/1/05,236787,31,7638.290323
11/1/05,237341,30,7911.366667
12/1/05,241758,31,7798.645161
1/1/06,242619,31,7826.419355
2/1/06,246794,28,8814.071429
3/1/06,251494,31,8112.709677
4/1/06,255257,30,8508.566667
5/1/06,253839,31,8188.354839
6/1/06,257741,30,8591.366667
7/1/06,258037,31,8323.774194
8/1/06,254884,31,8222.064516
9/1/06,254781,30,8492.7
10/1/06,256903,31,8287.193548
11/1/06,260614,30,8687.133333
12/1/06,270232,31,8717.16129
1/1/07,280098,31,9035.419355
2/1/07,275052,28,9823.285714
3/1/07,278405,31,8980.806452
4/1/07,281745,30,9391.5
5/1/07,289401,31,9335.516129
6/1/07,288080,30,9602.666667
7/1/07,288841,31,9317.451613
8/1/07,293431,31,9465.516129
9/1/07,297339,30,9911.3
10/1/07,295943,31,9546.548387
11/1/07,298893,30,9963.1
12/1/07,296694,31,9570.774194
1/1/08,294251,31,9491.967742
2/1/08,299323,29,10321.48276
3/1/08,306539,31,9888.354839
4/1/08,304512,30,10150.4
5/1/08,305320,31,9849.032258
6/1/08,307558,30,10251.93333
7/1/08,310609,31,10019.64516
8/1/08,313684,31,10118.83871
9/1/08,308559,30,10285.3
10/1/08,314332,31,10139.74194
11/1/08,316897,30,10563.23333
12/1/08,311957,31,10063.12903
1/1/09,309552,31,9985.548387
2/1/09,321367,28,11477.39286
3/1/09,325481,31,10499.3871
4/1/09,318896,30,10629.86667
5/1/09,317075,31,10228.22581
6/1/09,320961,30,10698.7
7/1/09,322593,31,10406.22581
8/1/09,314453,31,10143.64516
